experiment_number,num_students,num_schools,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,default_fair_num_student,num_manipulations_ratio,num_manipulations,algorithm,k,k_to_schools_ratio,possible_percentage_manipulators,average_runtime,average_utility,average_utility_fair_students,average_utility_manipulator_students,average_actual_percentage_manipulators,average_number_manipulations,average_percentage_unassigned_students,average_percentage_unassigned_fair_students,average_percentage_unassigned_manipulator_students
1.0,12,3,True,5,5,50,0.001,0.75,3,0.75,2.0,gs,1,0.333,75.0,0.08993573188781738,0.29140081136759205,0.22447807759790128,0.31370838929082234,67.66666666666667,11.28,15.999999999999998,57.093333333333334,2.3022222222222224
1.0,12,3,True,5,5,50,0.001,0.75,3,0.75,2.0,gs,2,0.667,75.0,0.10460039138793946,0.29009664969508675,0.26885448409334356,0.2971773715623345,51.66666666666666,7.8,12.52,31.70666666666667,6.124444444444444
1.0,12,3,True,5,5,50,0.001,0.75,3,0.75,2.0,gs,3,1.0,75.0,0.11232565879821778,0.29110617842466185,0.29560065313058315,0.2896080201893547,0.0,0.0,0.0,0.0,0.0
1.0,12,3,True,5,5,50,0.001,0.75,3,0.75,2.0,boston,3,1.0,75.0,0.07933122634887696,0.29098529302092,0.2891443810112222,0.29159893035748596,0.0,0.0,0.0,0.0,0.0
2.0,12,3,True,5,5,50,0.001,0.75,3,1.0,3.0,gs,1,0.333,75.0,0.10197471618652344,0.2883246794388125,0.22552483667251777,0.3092579603609108,67.66666666666667,11.28,16.999999999999996,57.11999999999999,3.626666666666667
2.0,12,3,True,5,5,50,0.001,0.75,3,1.0,3.0,gs,2,0.667,75.0,0.11812517166137695,0.28988643947077436,0.2744441328048763,0.29503387502607376,52.0,8.28,12.713333333333333,31.52,6.444444444444445
2.0,12,3,True,5,5,50,0.001,0.75,3,1.0,3.0,gs,3,1.0,75.0,0.1263442611694336,0.29107236103361217,0.2908744287685982,0.29113833845528353,0.0,0.0,0.0,0.0,0.0
2.0,12,3,True,5,5,50,0.001,0.75,3,1.0,3.0,boston,3,1.0,75.0,0.08894813537597657,0.29208571225985946,0.2892175639820271,0.29304176168580365,0.0,0.0,0.0,0.0,0.0
3.0,12,3,True,5,5,50,0.001,1.0,0,0.75,2.0,gs,1,0.333,100.0,0.109784574508667,0.31819135437144663,0.0,0.31819135437144663,80.33333333333333,13.52,7.666666666666666,0.0,7.666666666666666
3.0,12,3,True,5,5,50,0.001,1.0,0,0.75,2.0,gs,2,0.667,100.0,0.1280844497680664,0.30180789259259155,0.0,0.30180789259259155,65.33333333333333,9.72,7.586666666666666,0.0,7.586666666666666
3.0,12,3,True,5,5,50,0.001,1.0,0,0.75,2.0,gs,3,1.0,100.0,0.13726253509521485,0.2914637086315227,0.0,0.2914637086315227,0.0,0.0,0.0,0.0,0.0
3.0,12,3,True,5,5,50,0.001,1.0,0,0.75,2.0,boston,3,1.0,100.0,0.09692657470703125,0.292181042800437,0.0,0.292181042800437,0.0,0.0,0.0,0.0,0.0
4.0,12,3,True,5,5,50,0.001,1.0,0,1.0,3.0,gs,1,0.333,100.0,0.11316473007202149,0.3272526051412997,0.0,0.3272526051412997,80.33333333333333,13.48,7.999999999999999,0.0,7.999999999999999
4.0,12,3,True,5,5,50,0.001,1.0,0,1.0,3.0,gs,2,0.667,100.0,0.13228482246398926,0.29975861281719407,0.0,0.29975861281719407,63.33333333333333,10.04,9.133333333333333,0.0,9.133333333333333
4.0,12,3,True,5,5,50,0.001,1.0,0,1.0,3.0,gs,3,1.0,100.0,0.14115477561950684,0.29123911350940035,0.0,0.29123911350940035,0.0,0.0,0.0,0.0,0.0
4.0,12,3,True,5,5,50,0.001,1.0,0,1.0,3.0,boston,3,1.0,100.0,0.09839167594909667,0.2913042519147788,0.0,0.2913042519147788,0.0,0.0,0.0,0.0,0.0
5.0,12,5,True,5,5,50,0.001,0.75,3,0.75,4.0,gs,1,0.2,75.0,0.31183032035827635,0.17068921616032115,0.12799113928163133,0.18492190845321774,65.33333333333333,16.4,27.333333333333336,62.88,15.484444444444444
5.0,12,5,True,5,5,50,0.001,0.75,3,0.75,4.0,gs,2,0.4,75.0,0.3380549430847168,0.17332641633976414,0.12123096560709655,0.19069156658398667,73.66666666666667,16.56,23.566666666666666,60.98666666666667,11.093333333333332
5.0,12,5,True,5,5,50,0.001,0.75,3,0.75,4.0,gs,3,0.6,75.0,0.37573540687561036,0.17783610294024843,0.15446613612380683,0.1856260918790623,60.66666666666666,12.64,16.113333333333333,39.68,8.257777777777779
5.0,12,5,True,5,5,50,0.001,0.75,3,0.75,4.0,gs,4,0.8,75.0,0.4211928462982178,0.17837582439342953,0.1740040893675822,0.17983306940204527,49.0,6.92,9.8,22.74666666666667,5.484444444444445
5.0,12,5,True,5,5,50,0.001,0.75,3,0.75,4.0,gs,5,1.0,75.0,0.43385394096374513,0.1814354122610559,0.18324682691624553,0.18083160737599271,0.0,0.0,0.0,0.0,0.0
5.0,12,5,True,5,5,50,0.001,0.75,3,0.75,4.0,boston,5,1.0,75.0,0.29488482475280764,0.18143835470477954,0.1852366961557668,0.18017224088778377,0.0,0.0,0.0,0.0,0.0
6.0,12,5,True,5,5,50,0.001,0.75,3,1.0,5.0,gs,1,0.2,75.0,0.3018080902099609,0.17668787650732903,0.1267940464032216,0.1933191532086982,65.0,16.8,25.33333333333333,63.41333333333333,12.64
6.0,12,5,True,5,5,50,0.001,0.75,3,1.0,5.0,gs,2,0.4,75.0,0.32911307334899903,0.17332343943185266,0.12316254791105787,0.19004373660545093,74.0,17.56,21.68666666666667,60.53333333333334,8.737777777777778
6.0,12,5,True,5,5,50,0.001,0.75,3,1.0,5.0,gs,3,0.6,75.0,0.36693243026733396,0.1770352579848428,0.1563652589033373,0.18392525767867793,59.66666666666666,12.56,16.493333333333336,38.77333333333333,9.066666666666668
6.0,12,5,True,5,5,50,0.001,0.75,3,1.0,5.0,gs,4,0.8,75.0,0.40971931457519534,0.17734728166794198,0.17186216447504216,0.17917565406557526,48.33333333333333,7.12,9.833333333333334,23.44,5.297777777777778
6.0,12,5,True,5,5,50,0.001,0.75,3,1.0,5.0,gs,5,1.0,75.0,0.4220487689971924,0.18145963965989734,0.18450587573318233,0.18044422763546902,0.0,0.0,0.0,0.0,0.0
6.0,12,5,True,5,5,50,0.001,0.75,3,1.0,5.0,boston,5,1.0,75.0,0.2854749584197998,0.18133906116432905,0.18385766955737712,0.180499525033313,0.0,0.0,0.0,0.0,0.0
7.0,12,5,True,5,5,50,0.001,1.0,0,0.75,4.0,gs,1,0.2,100.0,0.3900948238372803,0.18249873253470444,0.0,0.18249873253470444,73.33333333333333,18.32,24.0,0.0,24.0
7.0,12,5,True,5,5,50,0.001,1.0,0,0.75,4.0,gs,2,0.4,100.0,0.4249546051025391,0.18721162393928137,0.0,0.18721162393928137,93.33333333333331,21.96,16.386666666666667,0.0,16.386666666666667
7.0,12,5,True,5,5,50,0.001,1.0,0,0.75,4.0,gs,3,0.6,100.0,0.47622922897338865,0.1838108633111534,0.0,0.1838108633111534,69.66666666666666,14.56,13.293333333333333,0.0,13.293333333333333
7.0,12,5,True,5,5,50,0.001,1.0,0,0.75,4.0,gs,4,0.8,100.0,0.5328181457519531,0.18229427793358724,0.0,0.18229427793358724,60.33333333333333,8.88,5.633333333333334,0.0,5.633333333333334
7.0,12,5,True,5,5,50,0.001,1.0,0,0.75,4.0,gs,5,1.0,100.0,0.5468793773651123,0.18130399520072324,0.0,0.18130399520072324,0.0,0.0,0.0,0.0,0.0
7.0,12,5,True,5,5,50,0.001,1.0,0,0.75,4.0,boston,5,1.0,100.0,0.3720893955230713,0.18100749357247645,0.0,0.18100749357247645,0.0,0.0,0.0,0.0,0.0
8.0,12,5,True,5,5,50,0.001,1.0,0,1.0,5.0,gs,1,0.2,100.0,0.3438212299346924,0.20528376084688868,0.0,0.20528376084688868,68.66666666666666,14.24,22.33333333333333,0.0,22.33333333333333
8.0,12,5,True,5,5,50,0.001,1.0,0,1.0,5.0,gs,2,0.4,100.0,0.37652101516723635,0.2148114005537949,0.0,0.2148114005537949,85.0,17.76,14.580000000000002,0.0,14.580000000000002
8.0,12,5,True,5,5,50,0.001,1.0,0,1.0,5.0,gs,3,0.6,100.0,0.42071993827819826,0.21066866167671416,0.0,0.21066866167671416,58.66666666666667,10.64,11.02,0.0,11.02
8.0,12,5,True,5,5,50,0.001,1.0,0,1.0,5.0,gs,4,0.8,100.0,0.4723051452636719,0.20956297048348252,0.0,0.20956297048348252,47.66666666666666,6.4,5.013333333333334,0.0,5.013333333333334
8.0,12,5,True,5,5,50,0.001,1.0,0,1.0,5.0,gs,5,1.0,100.0,0.48609652519226076,0.20998121579644505,0.0,0.20998121579644505,0.0,0.0,0.0,0.0,0.0
8.0,12,5,True,5,5,50,0.001,1.0,0,1.0,5.0,boston,5,1.0,100.0,0.3278640365600586,0.21032090040320908,0.0,0.21032090040320908,0.0,0.0,0.0,0.0,0.0
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,6.0,gs,1,0.125,75.0,1.2674038696289063,0.10131181428293566,0.07760327626499486,0.10921466028891592,59.33333333333333,15.36,43.66666666666667,67.01333333333334,35.88444444444444
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,6.0,gs,2,0.25,75.0,1.3021696853637694,0.11784566885656445,0.08004948155116778,0.13044439795836332,73.0,24.64,29.173333333333336,63.14666666666667,17.84888888888889
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,6.0,gs,3,0.375,75.0,1.35872709274292,0.1209201118486184,0.09228077553399075,0.1304665572868276,74.33333333333333,24.6,23.40666666666667,53.84,13.262222222222222
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,6.0,gs,4,0.5,75.0,1.4482192611694336,0.12262560412562803,0.10391895190859855,0.12886115486463787,68.0,20.12,19.653333333333336,42.88,11.911111111111111
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,6.0,gs,5,0.625,75.0,1.573115997314453,0.1241711932458438,0.1172898900404515,0.12646496098097457,60.33333333333333,15.2,14.073333333333334,27.253333333333334,9.68
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,6.0,gs,6,0.75,75.0,1.7117434406280518,0.12500216652753307,0.1221212829008902,0.12596246106974737,57.33333333333333,10.36,9.946666666666667,18.56,7.075555555555556
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,6.0,gs,7,0.875,75.0,1.8463174057006837,0.12524013606754847,0.12469745664370771,0.1254210292088287,39.0,4.92,6.513333333333334,11.28,4.924444444444444
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,6.0,gs,8,1.0,75.0,1.8685930728912354,0.12615024606616929,0.12469854059023272,0.1266341478914815,0.0,0.0,0.0,0.0,0.0
9.0,12,8,True,5,5,50,0.001,0.75,3,0.75,6.0,boston,8,1.0,75.0,1.252491397857666,0.12586959209506807,0.1268778498936117,0.1255335061622202,0.0,0.0,0.0,0.0,0.0
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,8.0,gs,1,0.125,75.0,1.3430884456634522,0.09996351761163273,0.07666717650786642,0.10772896464622152,60.0,15.6,43.33333333333334,67.2,35.37777777777778
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,8.0,gs,2,0.25,75.0,1.3788392639160156,0.11820760250140573,0.08528006166992692,0.129183449445232,74.0,25.68,28.526666666666664,60.61333333333333,17.83111111111111
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,8.0,gs,3,0.375,75.0,1.4387715816497804,0.1213531735304989,0.09340488968754629,0.13066926814481644,73.66666666666666,24.72,23.90666666666667,53.41333333333334,14.071111111111112
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,8.0,gs,4,0.5,75.0,1.5276054668426513,0.1220079422813702,0.1043254857083487,0.12790209447237735,67.66666666666667,18.76,20.8,42.08,13.706666666666667
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,8.0,gs,5,0.625,75.0,1.6491132736206056,0.12371851623600501,0.11272716178107992,0.12738230105431336,56.33333333333333,14.48,15.36,29.22666666666667,10.737777777777778
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,8.0,gs,6,0.75,75.0,1.797958221435547,0.12499284633701299,0.12316037559865169,0.12560366991646676,56.0,10.16,9.906666666666668,17.893333333333334,7.2444444444444445
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,8.0,gs,7,0.875,75.0,1.9443789100646973,0.12612774354415698,0.1262730316650439,0.12607931417052803,40.666666666666664,5.04,5.84,10.56,4.266666666666667
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,8.0,gs,8,1.0,75.0,1.9668710327148438,0.12577882208016156,0.1262063460902343,0.12563631407680398,0.0,0.0,0.0,0.0,0.0
10.0,12,8,True,5,5,50,0.001,0.75,3,1.0,8.0,boston,8,1.0,75.0,1.3282715702056884,0.12603688020859197,0.12353559337770546,0.12687064248555413,0.0,0.0,0.0,0.0,0.0
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,6.0,gs,1,0.125,100.0,1.6023966121673583,0.10286930875686479,0.0,0.10286930875686479,61.66666666666667,16.28,42.0,0.0,42.0
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,6.0,gs,2,0.25,100.0,1.6431877422332763,0.12255139411249695,0.0,0.12255139411249695,91.66666666666666,30.2,24.993333333333336,0.0,24.993333333333336
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,6.0,gs,3,0.375,100.0,1.7131466197967529,0.12561174322073096,0.0,0.12561174322073096,90.66666666666666,27.8,19.58,0.0,19.58
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,6.0,gs,4,0.5,100.0,1.8166788291931153,0.12476929159430877,0.0,0.12476929159430877,80.66666666666666,21.84,18.24,0.0,18.24
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,6.0,gs,5,0.625,100.0,1.967883768081665,0.12580252631191075,0.0,0.12580252631191075,66.66666666666667,16.6,13.193333333333335,0.0,13.193333333333335
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,6.0,gs,6,0.75,100.0,2.1483938884735108,0.12636776991737989,0.0,0.12636776991737989,66.0,11.84,8.46,0.0,8.46
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,6.0,gs,7,0.875,100.0,2.3357476711273195,0.12643356317657642,0.0,0.12643356317657642,47.0,5.84,5.013333333333334,0.0,5.013333333333334
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,6.0,gs,8,1.0,100.0,2.360539665222168,0.12617289551297664,0.0,0.12617289551297664,0.0,0.0,0.0,0.0,0.0
11.0,12,8,True,5,5,50,0.001,1.0,0,0.75,6.0,boston,8,1.0,100.0,1.5861364269256593,0.12607011792655987,0.0,0.12607011792655987,0.0,0.0,0.0,0.0,0.0
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,8.0,gs,1,0.125,100.0,1.4678352737426759,0.10576577719218987,0.0,0.10576577719218987,50.0,12.16,44.0,0.0,44.0
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,8.0,gs,2,0.25,100.0,1.5043123531341553,0.13042277896568932,0.0,0.13042277896568932,83.66666666666666,25.08,24.58,0.0,24.58
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,8.0,gs,3,0.375,100.0,1.5676909637451173,0.13449363493328864,0.0,0.13449363493328864,91.66666666666666,26.28,18.62,0.0,18.62
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,8.0,gs,4,0.5,100.0,1.6732019138336183,0.13571254929157417,0.0,0.13571254929157417,80.0,20.76,15.433333333333335,0.0,15.433333333333335
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,8.0,gs,5,0.625,100.0,1.8131103897094727,0.13533567587027578,0.0,0.13533567587027578,66.66666666666666,14.88,12.26,0.0,12.26
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,8.0,gs,6,0.75,100.0,1.9807040786743164,0.1361388728027093,0.0,0.1361388728027093,59.33333333333333,10.32,7.98,0.0,7.98
12.0,12,8,True,5,5,50,0.001,1.0,0,1.0,8.0,gs,7,0.875,100.0,2.1394778156280516,0.13543552343634424,0.0,0.13543552343634424,38.333333333333336,4.64,4.773333333333333,0.0,4.773333333333333
