experiment_number,num_students,num_schools,average_runtime,capacities,capacities_generated,num_capacities,num_repeats_profiles,num_repeat_sampler,epsilon,manipulators_ratio,num_manipulations,algorithm,k,probabilities,utilities,average_utility,average_actual_percentage_manipulators,average_percentage_unassigned_students,default_fair_num_student,average_number_manipulations,possible_percentage_manipulators
1.0,3,3,0.27692246437072754,[1 1 1],True,5,10,100,0.02,0.6,6,boston,3,"[[0.342 0.315 0.343 0.   ]
 [0.328 0.336 0.336 0.   ]
 [0.33  0.349 0.321 0.   ]]",[0.33737885 0.33453606 0.33506248],0.33565912927036984,0.0,0.0,1,0.0,66.66666666666666
1.0,3,3,0.2871856689453125,[1 1 1],True,5,10,100,0.02,0.6,6,boston,3,"[[0.335 0.334 0.331 0.   ]
 [0.329 0.321 0.35  0.   ]
 [0.336 0.345 0.319 0.   ]]",[0.3340208  0.32535152 0.33173016],0.3303674932418081,0.0,0.0,1,0.0,66.66666666666666
1.0,3,3,0.27026963233947754,[1 1 1],True,5,10,100,0.02,0.6,6,boston,3,"[[0.337 0.318 0.345 0.   ]
 [0.348 0.308 0.344 0.   ]
 [0.315 0.374 0.311 0.   ]]",[0.33465516 0.33432722 0.33206117],0.33368118330955526,0.0,0.0,1,0.0,66.66666666666666
1.0,3,3,0.33867669105529785,[1 1 1],True,5,10,100,0.02,0.6,6,boston,3,"[[0.323 0.337 0.34  0.   ]
 [0.324 0.323 0.353 0.   ]
 [0.353 0.34  0.307 0.   ]]",[0.3249011  0.32929958 0.34495872],0.33305313292607147,0.0,0.0,1,0.0,66.66666666666666
1.0,3,3,0.2818295955657959,[1 1 1],True,5,10,100,0.02,0.6,6,boston,3,"[[0.325 0.336 0.339 0.   ]
 [0.329 0.318 0.353 0.   ]
 [0.346 0.346 0.308 0.   ]]",[0.33018098 0.32357529 0.33827567],0.3306773152520462,0.0,0.0,1,0.0,66.66666666666666
1.0,3,3,0.28098034858703613,[1 1 1],True,5,10,100,0.02,0.6,6,gs,1,"[[0.317 0.3   0.    0.383]
 [0.486 0.    0.    0.514]
 [0.197 0.6   0.    0.203]]",[0.29338401 0.2758634  0.29566385],0.2883037578657774,30.0,36.66666666666665,1,0.9,66.66666666666666
1.0,3,3,0.2891855239868164,[1 1 1],True,5,10,100,0.02,0.6,6,gs,1,"[[0.232 0.5   0.    0.268]
 [0.238 0.5   0.    0.262]
 [0.53  0.    0.    0.47 ]]",[0.25155067 0.33179689 0.29580383],0.2930504616203791,33.33333333333333,33.33333333333332,1,1.0,66.66666666666666
1.0,3,3,0.27227258682250977,[1 1 1],True,5,10,100,0.02,0.6,6,gs,1,"[[0.489 0.    0.    0.511]
 [0.323 0.3   0.    0.377]
 [0.188 0.6   0.    0.212]]",[0.27992475 0.27736177 0.32064834],0.2926449520488275,30.0,36.66666666666666,1,0.9,66.66666666666666
1.0,3,3,0.3432793617248535,[1 1 1],True,5,10,100,0.02,0.6,6,gs,1,"[[0.527 0.    0.    0.473]
 [0.192 0.6   0.    0.208]
 [0.281 0.4   0.    0.319]]",[0.27725775 0.30771507 0.29041144],0.29179475192890864,33.33333333333333,33.33333333333332,1,1.0,66.66666666666666
1.0,3,3,0.2858293056488037,[1 1 1],True,5,10,100,0.02,0.6,6,gs,1,"[[0.22  0.5   0.    0.28 ]
 [0.268 0.4   0.    0.332]
 [0.512 0.    0.    0.488]]",[0.29440676 0.28497455 0.2380456 ],0.2724756352650371,30.0,36.66666666666665,1,0.9,66.66666666666666
1.0,3,3,0.28304314613342285,[1 1 1],True,5,10,100,0.02,0.6,6,gs,2,"[[0.374 0.351 0.1   0.175]
 [0.497 0.273 0.    0.23 ]
 [0.129 0.376 0.495 0.   ]]",[0.33915718 0.36278449 0.27759624],0.3265126357800767,43.333333333333336,13.5,1,1.3,66.66666666666666
1.0,3,3,0.2911856174468994,[1 1 1],True,5,10,100,0.02,0.6,6,gs,2,"[[0.195 0.443 0.273 0.089]
 [0.292 0.307 0.271 0.13 ]
 [0.513 0.25  0.    0.237]]",[0.31878855 0.33207555 0.3590428 ],0.3366356341598323,36.66666666666667,15.2,1,1.1,66.66666666666666
1.0,3,3,0.2742726802825928,[1 1 1],True,5,10,100,0.02,0.6,6,gs,2,"[[0.466 0.286 0.    0.248]
 [0.29  0.364 0.231 0.115]
 [0.244 0.35  0.313 0.093]]",[0.35793271 0.31348759 0.31384707],0.328422458828544,36.66666666666667,15.2,1,1.1,66.66666666666666
1.0,3,3,0.3452761173248291,[1 1 1],True,5,10,100,0.02,0.6,6,gs,2,"[[0.481 0.27  0.    0.249]
 [0.111 0.484 0.358 0.047]
 [0.408 0.246 0.201 0.145]]",[0.33982344 0.27841897 0.34259751],0.32027997403533703,40.0,14.699999999999998,1,1.2,66.66666666666666
1.0,3,3,0.2868492603302002,[1 1 1],True,5,10,100,0.02,0.6,6,gs,2,"[[0.276 0.361 0.253 0.11 ]
 [0.245 0.349 0.316 0.09 ]
 [0.479 0.29  0.    0.231]]",[0.33994171 0.28723711 0.3193019 ],0.31549357419410146,36.66666666666667,14.366666666666665,1,1.1,66.66666666666666
1.0,3,3,0.28408360481262207,[1 1 1],True,5,10,100,0.02,0.6,6,gs,3,"[[0.329 0.319 0.352 0.   ]
 [0.339 0.324 0.337 0.   ]
 [0.332 0.357 0.311 0.   ]]",[0.32797649 0.33796024 0.33772163],0.3345527861741715,0.0,0.0,1,0.0,66.66666666666666
1.0,3,3,0.29260706901550293,[1 1 1],True,5,10,100,0.02,0.6,6,gs,3,"[[0.337 0.34  0.323 0.   ]
 [0.334 0.321 0.345 0.   ]
 [0.329 0.339 0.332 0.   ]]",[0.33679189 0.33140735 0.33207325],0.33342416297479543,0.0,0.0,1,0.0,66.66666666666666
1.0,3,3,0.27545952796936035,[1 1 1],True,5,10,100,0.02,0.6,6,gs,3,"[[0.327 0.342 0.331 0.   ]
 [0.326 0.338 0.336 0.   ]
 [0.347 0.32  0.333 0.   ]]",[0.33373159 0.32610006 0.33555462],0.33179542264864553,0.0,0.0,1,0.0,66.66666666666666
1.0,3,3,0.34841465950012207,[1 1 1],True,5,10,100,0.02,0.6,6,gs,3,"[[0.314 0.344 0.342 0.   ]
 [0.363 0.308 0.329 0.   ]
 [0.323 0.348 0.329 0.   ]]",[0.33315602 0.34354105 0.32891297],0.33520334694611503,0.0,0.0,1,0.0,66.66666666666666
1.0,3,3,0.28785133361816406,[1 1 1],True,5,10,100,0.02,0.6,6,gs,3,"[[0.3   0.34  0.36  0.   ]
 [0.342 0.334 0.324 0.   ]
 [0.358 0.326 0.316 0.   ]]",[0.32212997 0.33636621 0.33968928],0.33272848630956214,0.0,0.0,1,0.0,66.66666666666666
